PV System,Address,City,Zip,Latitude,Longitude
PV SOLAR ROOF MOUNT ( 6890 WATTS ),6611  STANDING ROCK PL,COLORADO SPRINGS,80918,38.93317491,-104.74824643
PV SOLAR ( 3445 WATTS ),6240  EMMA LN,COLORADO SPRINGS,80922,38.90581377,-104.70386811
PV SOLAR GROUND MOUNT ( 12600 WATTS ),9462  SHARLENE HTS,GREEN MOUNTAIN FALLS,80819,39.0180703,-104.99684635
PV SOLAR ( 9810 WATTS ),12720  PEREGRINE WAY,COLORADO SPRINGS,80908,39.0162847,-104.7443113
PV SOLAR GROUND MOUNT ( 7980 WATTS ),3085  FULLER RD,COLORADO SPRINGS,80920,38.93817106,-104.76785748
PV SOLAR ROOF/FLUSH ( 6500) WATTS ),2670  SUMMERHILL DR,COLORADO SPRINGS,80920,38.96029674,-104.77280562
PV SOLAR ROOF/FLUSH MOUNT ( 4160 WATTS ),5828  DUTCHESS DR,COLORADO SPRINGS,80918,38.91969883,-104.72620249
PV SOLAR ( 9880 WATTS ),14  LAZY W RD,FOUNTAIN,80817,38.67759521,-104.67184768
PV SOLAR ( 6210 WATTS ),834  KIOWA ST,FOUNTAIN,80817,38.6908295,-104.70819638
PV SOLAR ( 5460 WATTS ),5345  SODBUSTER TRL,COLORADO SPRINGS,80917,38.89113244,-104.72809092
"PV SOLAR (5,460 WATTS)",1905 N WHITEHORN DR,COLORADO SPRINGS,80920,38.94335067,-104.79128687
PV SOLAR ( 8232 WATTS ),21 E SAN MIGUEL ST,COLORADO SPRINGS,80903,38.85180753,-104.82318021
REINSTALL PV SOLAR (H20178),730  CHEYENNE BLVD,COLORADO SPRINGS,80906,38.80376673,-104.84046774
PV SOLAR ROOF MOUNT ( 6030 WATTS ),4840  BROADMOOR BLUFFS DR,COLORADO SPRINGS,80906,38.75738191,-104.82296998
PV SOLAR (ROOF MOUNT FLUSH) ( 6000 WATTS ),19740  GLEN SHADOWS DR,COLORADO SPRINGS,80908,39.11448728,-104.76672703
PV SOLAR ROOF MOUNT ( 6860 WATTS ),7818  SILVER BIRCH DR,COLORADO SPRINGS,80915,38.92941774,-104.68050136
PV SOLAR ( 5360 WATTS ),7337  INDIAN RIVER DR,COLORADO SPRINGS,80922,38.92150829,-104.69075579999999
PV SOLAR FLUSH ROOF MOUNT ( 5230 WATTS ),5534  GUNSHOT PASS DR,COLORADO SPRINGS,80917,38.88326907,-104.72494557
PV SOLAR FLUSH ROOF MOUNT ( 5886 WATTS ),19845  HAMAL DR,MONUMENT,80132,39.11962236,-104.88293139
PV SOLAR ROOF MOUNT FLUSH ( 8502 WATTS ),5130  MAYWEED CT,COLORADO SPRINGS,80917,38.89813742,-104.73200836
PV SOLAR  ( 5320 WATTS ),2439  LEDGEWOOD DR,COLORADO SPRINGS,80921,39.03215263,-104.78019462
PV SOLAR (ROOF FLUSH MOUNT) ( 6135 WATTS ),1005  BETA LOOP,COLORADO SPRINGS,80906,38.81718664,-104.85120876
PV SOLAR ROOF MOUNT ( 4087 WATTS ),2001  HERCULES DR,COLORADO SPRINGS,80906,38.81464708,-104.85770129
PV SOLAR/ROOF MOUNT ( 12825 WATTS ),330  WEDGEWOOD CT,COLORADO SPRINGS,80906,38.77422376,-104.83342795
PV SOLAR ROOF MOUNT,3030  LONE FEATHER DR,COLORADO SPRINGS,80929,38.78809525,-104.61376816
PV SOLAR GROUND MOUNT,4258 S CALHAN RD,CALHAN,80808,38.89331504,-104.29775501
PV SOLAR ( 21080 WATTS ),3680  JEANNINE DR,COLORADO SPRINGS,80917,38.88594724,-104.75849549
PV SOLAR (FLUSH ROOF MOUNT) ( 4250 WATTS ),3755  SADDLE ROCK RD,COLORADO SPRINGS,80918,38.91165564,-104.75600384
PV SOLAR ( 3640 WATTS ),1055  SOUTH PARK DR,MONUMENT,80132,39.09570165,-104.84647036
PV SOLAR ( 3360 WATTS ),11035  TOTTENHAM CT,FALCON,80831,38.98366013,-104.62196562
PV SOLAR (FLUSH ROOF MOUNT) ( 4675 WATTS ),15619  DAWSON CREEK DR,MONUMENT,80132,39.0598107,-104.8293469
PV SOLAR (FLUSH ROOF MOUNT) ( 5350 WATTS ),6033  POWDER KEG PL,COLORADO SPRINGS,80918,38.91963707,-104.78166346
PV SOLAR (ROOF FLUSH MOUNT) ( 3710 WATTS ),5155  FOSSIL BUTTE DR,COLORADO SPRINGS,80918,38.9251221,-104.73355084
PV SOLAR (ROOF FLUSH MOUNT) ( 2200 WATTS ),1183  WHISTLER HOLLOW DR,COLORADO SPRINGS,80906,38.77006172,-104.80854494
PV SOLAR (ROOF MOUNT) ( 2470 WATTS ),8045  STEWARD LN,COLORADO SPRINGS,80922,38.90476682,-104.68339893
PV SOLAR ROOF FLUSH MOUNT ( 5320 WATTS ),1142  GREENLAND FOREST DR,MONUMENT,80132,39.1291224,-104.84935428
PV SOLAR ROOF FLUSH  MOUNT,7182  MUSTANG RIM DR,COLORADO SPRINGS,80922,38.92917451,-104.68811581
PV SOLAR ROOF FLUSH MOUNT ( 6325 WATTS ),7360  JANICE PL,COLORADO SPRINGS,80920,38.93844702,-104.78209226
PV SOLAR ROOF FLUSH MOUNT ( 6875 WATTS ),3595  CRAGWOOD PL,COLORADO SPRINGS,80907,38.88304109,-104.79164034
PV SOLAR ROOF FLUSH MOUNT ( 3180 WATTS ),1655  MAXWELL ST,COLORADO SPRINGS,80906,38.76207463,-104.76529259
PV SOLAR GROUND MOUNT ( 6160 WATTS ),4565  TIERRA ROJO DR,COLORADO SPRINGS,80926,38.60427543,-104.91729867
PV SOLAR ( 2800 WATTS ),211 S RACE ST,FOUNTAIN,80817,38.684,-104.70200000000001
PV SOLAR FLUSH ROOF MOUNT ( 5985 WATTS ),2465  SHIPROCK WAY,COLORADO SPRINGS,80919,38.95060269,-104.86345774
PV SOLAR GROUND MOUNT ( 4500 WATTS ),6155  MORROW PT,COLORADO SPRINGS,80908,39.07964418,-104.71306422
PV SOLAR ( 3273 WATTS ),5539  ARROYO ST,COLORADO SPRINGS,80922,38.91115342,-104.68973722
PV SOLAR (ROOF FLUSH MOUNT) ( 2800 WATTS ),6759  BALANCE CIR,COLORADO SPRINGS,80922,38.92315028,-104.70107251
PV SOLAR ( 9700 WATTS ),12697  CORRAL BLUFFS VW,FALCON,80831,38.86885676,-104.60048205
PV SOLAR ROOF MOUNT FLUSH ( 5320 WATTS ),626  ACADEMY RD,PALMER LAKE,80133,39.12978934,-104.91136911
PV SOLAR FLUSH MOUNT ( 5320 WATTS ),611 E WILLAMETTE AVE,COLORADO SPRINGS,80903,38.84177445,-104.81451726
PV SOLAR FLUSH MOUNT ( 2650 WATTS ),10553  MT LINCOLN DR,PEYTON,80831,38.98424775,-104.58595387
PV SOLAR FLUSH MOUNT ( 4240 WATTS ),7835  GLADWATER RD,PEYTON,80831,38.9467081,-104.59574064
PV SOLAR FLUSH MOUNT ( 1800 WATTS ),16110  DALIE VW,COLORADO SPRINGS,80928,38.59800381,-104.49058581
PV SOLAR GROUND MOUNT,12955  WOODLAKE RD,ELBERT,80106,39.05732724,-104.58383985
PV SOLAR FLUSH ROOF MOUNT ( 5830 WATTS ),11177  HAHN RD,CALHAN,80808,38.995859700000004,-104.30099009999999
PV SOLAR ROOF FLUSH MOUNT ( 2650 WATTS ),2540  COVINGTON PL,COLORADO SPRINGS,80918,38.92864448,-104.78144711
PV SOLAR (ROOF FLUSH MOUNT) ( 7650 WATTS ),588  BURKE HOLLOW DR,MONUMENT,80132,39.06126229,-104.83740798
PV SOLAR FLUSH MOUNT ( 9945 WATTS ),7215  EAGLE WING DR,COLORADO SPRINGS,80908,38.97409661,-104.69145452
PV SOLAR ( 6250 WATTS ),2765  HAMERMESH DR,COLORADO SPRINGS,80920,38.96297621,-104.77238758
PV SOLAR ( 5100 WATTS ),19812 W THUNDER RD,COLORADO SPRINGS,80908,39.11994253,-104.71794709999999
PV SOLAR ( 8060 WATTS ),824  DESCHUTES DR,COLORADO SPRINGS,80921,39.01075823,-104.81256935
PV SOLAR ( 9945 WATTS ),17460  COLONIAL PARK DR,MONUMENT,80132,39.07894404,-104.80789463
PV SOLAR ( 7650 WATTS ),690  LAKE WOODMOOR DR,MONUMENT,80132,39.09455511,-104.84035915
PV SOLAR ( 2850 WATTS ),2374  LEDGEWOOD DR,COLORADO SPRINGS,80921,39.03317907,-104.78153336
PV SOLAR ( 6500 WATTS ),14965  SUN HILLS DR,COLORADO SPRINGS,80921,39.04913955,-104.79861995
PV SOLAR ( 3120 WATTS ),16326  RIDGE RUN DR,COLORADO SPRINGS,80908,39.06780426,-104.69409613
PV SOLAR ( 7800 WATTS ),340  LARIAT LN,COLORADO SPRINGS,80921,39.05303219,-104.83319671
PV SOLAR ( 5720 WATTS ),19918  TALKING ROCK HTS,MONUMENT,80132,39.12122807,-104.86151926
PV SOLAR,14536  LATROBE DR,COLORADO SPRINGS,80921,39.04344632,-104.81919058
PV SOLAR ( 3900 WATTS ),4210  GREEN MOUNTAIN DR,COLORADO SPRINGS,80921,39.04642756,-104.90753557
PV SOLAR ( 4335 WATTS ),13994  RIVERCREST CIR,COLORADO SPRINGS,80921,39.03432385,-104.82359853
PV SOLAR ( 6760 WATTS ),14197  PETREL DR,COLORADO SPRINGS,80921,39.03722842,-104.83301379999999
PV SOLAR GROUND MOUNT (12600 WATTS),7545  LOG RD,PEYTON,80831,38.94053338,-104.4226604
PV SOLAR ( 7150 WATTS ),4930  RAMBLEWOOD DR,COLORADO SPRINGS,80920,38.94384041,-104.74844477
PV SOLAR ( 7700 WATTS ),7894  ULTRA DR,COLORADO SPRINGS,80920,38.94625002,-104.73499586
PV SOLAR ( 5500 WATTS ),5150  HARVEST RD,COLORADO SPRINGS,80917,38.90580064,-104.7312666
PV SOLAR ( 5400 WATTS ),2830  BETHUNE CT,COLORADO SPRINGS,80920,38.96521639,-104.77390140000001
PV SOLAR ROOF MOUNT FLUSH ( 2520 WATTS ),2003  PRONG HORN LN,COLORADO SPRINGS,80915,38.86173615,-104.73325626
PV SOLAR ROOF MOUNT ( 45000 WATTS ),412 S NEVADA AVE,COLORADO SPRINGS,80903,38.82759788,-104.82266431
PV SOLAR ( 3270 WATTS ),1655  MONTEZUMA RD,COLORADO SPRINGS,80920,38.97851153,-104.79570474
PV SOLAR ( 4690 WATTS ),6925  OAK VALLEY LN,COLORADO SPRINGS,80919,38.93136978,-104.8506229
PV SOLAR ( 3640 WATTS ),4405  ALLESANDRO DR,COLORADO SPRINGS,80916,38.81906834,-104.74487166
PV SOLAR ( 5500 WATTS ),8869  RORY CREEK ST,COLORADO SPRINGS,80924,38.9610475,-104.71589285
PV SOLAR ( 11250 WATTS ),5170  LUSTER DR,COLORADO SPRINGS,80923,38.92277128,-104.72625718
PV SOLAR ROOF MOUNT FLUSH,6404  GUNSLINGER DR,COLORADO SPRINGS,80922,38.92468635,-104.69441394
PV SOLAR FLUSH ROOF MOUNT ( 7194 WATTS ),13760  NARROWLEAF DR,COLORADO SPRINGS,80921,39.03044438,-104.81664944
PV SOLAR FLUSH ROOF MOUNT  ( 4578 WATTS ),7311  CREEKFRONT DR,FOUNTAIN,80817,38.71322806,-104.6930682
PV SOLAR ROOF MOUNT FLUSH ( 7616 WATTS ),8147  TABLE MESA WAY,COLORADO SPRINGS,80919,38.94955394,-104.86688243
PV SOLAR ROOF TOP FLUSH,4535  FOXCHASE WAY,COLORADO SPRINGS,80908,39.03926627,-104.74080415
PV SOLAR ( 6540 WATTS ),7814  CREEKFRONT DR,FOUNTAIN,80817,38.70978562,-104.68731424
PV SOLAR ( 4578 WATTS ),2024 E WILLAMETTE AVE,COLORADO SPRINGS,80909,38.84121052,-104.79060854
PV SOLAR ( 7194 WATTS ),3725  SPRINGS RANCH DR,COLORADO SPRINGS,80922,38.88600435,-104.69533216
PV SOLAR ROOF MOUNT ( 5886 WATTS ),2040  MANNING WAY,COLORADO SPRINGS,80919,38.92125689,-104.86608478
PV SOLAR FLUSH ROOF MOUNT ( 3840 WATTS ),5685  REVELSTOKE DR,COLORADO SPRINGS,80924,38.96550349,-104.72510727
PV SOLAR FLUSH ROOF MOUNT ( 4480 WATTS ),723 E BOULDER ST,COLORADO SPRINGS,80903,38.83859987,-104.81183455
PV SOLAR FLUSH ROOF MOUNT ( 5120 WATTS ),721 E BOULDER ST,COLORADO SPRINGS,80903,38.83894249,-104.81180143
PV SOLAR ROOF FLUSH MOUNT ( 3840 WATTS ),7164  AMBER RIDGE DR,COLORADO SPRINGS,80922,38.89290197,-104.69572671
PV SOLAR ROOF FLUSH ( 2880 WATTS ),1504  CANOE CREEK DR,COLORADO SPRINGS,80906,38.7719955,-104.80014533
PV SOLAR ROOF FLUSH ( 5120 WATTS ),5  KEITHLEY PL,MANITOU SPRINGS,80829,38.85368427,-104.89817218
PV SOLAR REMOVE AND REPLACE,4876  SPOKANE WAY,COLORADO SPRINGS,80911,38.76165077,-104.71462179
NEW PV SOLAR ARRAY,7383  LOREN LN,FOUNTAIN,80817,38.60455157,-104.69123367
NEW PV SOLAR ARRAY,7383  LOREN LN,FOUNTAIN,80817,38.60455157,-104.69123367
PV SOLAR 3300 WATTS,12930  MORRIS TRL,COLORADO SPRINGS,80908,39.01831025,-104.75596535
PV SOLAR ( 7840 WATTS ),7055  WILDRIDGE RD,COLORADO SPRINGS,80908,39.03221311,-104.69164684
PV SOLAR,7284  ANGELHOLM RD,COLORADO SPRINGS,80908,39.11746122,-104.69153307
PV SOLAR ROOF MOUNT ( 12250 WATTS ),3131  CENTURY ST,COLORADO SPRINGS,80907,38.877024,-104.81366776
PV SOLAR ROOF MOUNT ( 28776 WATTS ),2842  VICKERS DR,COLORADO SPRINGS,80918,38.91434021,-104.77475977
PV SOLAR GROUND MOUNT ( 3640 WATTS ),8450  AEROSTAR DR,PEYTON,80831,38.95405861,-104.56089122
PV SOLAR ROOF FLUSH MOUNT  ( 3990 WATTS ),318 E PIKES PEAK AVE,COLORADO SPRINGS,80903,38.83409902,-104.81914263
PV SOLAR GROUND MOUNT 10260 WATTS,16640  DEGROOT RD,COLORADO SPRINGS,80928,38.590078999999996,-104.49974969
PV SOLAR ROOF MOUNT ( 3990 WATTS ),3640  REINDEER CIR,COLORADO SPRINGS,80922,38.8854919,-104.68991709
PV SOLAR ROOF FLUSH MOUNT,3475  PONY TRACKS DR,COLORADO SPRINGS,80922,38.88128355,-104.70729205
PV SOLAR ROOF MOUNT FLUSH 2565W ( 2565 WATTS ),3650  HARE HAVEN LN,COLORADO SPRINGS,80930,38.77741294,-104.52369826
PV SOLAR ROOF MOUNT FLUSH 5700 WATTS,16710  VINCENT AVE,MONUMENT,80132,39.07405478,-104.88536368
PV SOLAR ROOF MOUNT FLUSH ( 5985 WATTS ),3550  PITCH PL,COLORADO SPRINGS,80908,39.09696894,-104.76152903
PV SOLAR ( 6000 WATTS ),4407  FENCER RD,COLORADO SPRINGS,80911,38.76707189,-104.72645232
PV SOLAR ROOF FLUSH DUPLEX ( 2860 WATTS ),4015  TAPPAN DR,COLORADO SPRINGS,80909,38.85217254,-104.75167283
PV SOLAR ROOF FLUSH DUPLEX ( 3120 WATTS ),4017  TAPPAN DR,COLORADO SPRINGS,80909,38.85226396,-104.75172379
PV SOLAR ( 3000 WATTS ),7673  SAFARI CIR,COLORADO SPRINGS,80920,38.94340851,-104.76978473
REMOVE AND REPLACE PV SOLAR,17060  OXBRIDGE RD,MONUMENT,80132,39.08652479,-104.88611472
REMOVE AND REPLACE PV SOLAR PANELS,5285  ALMONT AVE,COLORADO SPRINGS,80911,38.76054155,-104.73032012
PV SOLAR ( 1960 WATTS ),4935 N NOLTE DR,COLORADO SPRINGS,80916,38.82002245,-104.73630369
PV SOLAR FLUSH ROOF MOUNT ( 2400 WATTS ),7130  OAK HILLS LN,COLORADO SPRINGS,80919,38.93551774,-104.85235171
PV SOLAR FLUSH ROOF MOUNT ( 3705 WATTS ),3715  INDIANPIPE CIR,COLORADO SPRINGS,80918,38.89492467,-104.76089376
PV SOLAR REMOVE AND REPLACE,3640  REINDEER CIR,COLORADO SPRINGS,80922,38.8854919,-104.68991709
PV SOLAR REMOVE AND REPLACE,7357  INDIAN RIVER DR,COLORADO SPRINGS,80922,38.92149904,-104.69036942
PV SOLAR ROOF MOUNT ( 4480 WATTS ),3976  REINDEER CIR,COLORADO SPRINGS,80922,38.88412333,-104.68978164
PV SOLAR,8435  FALCON MEADOW BLVD,FALCON,80831,38.95472038,-104.62768153
PV SOLAR FLUSH ROOF MOUNT ( 4960 WATTS ),828 N 31ST ST,COLORADO SPRINGS,80904,38.86184637,-104.86848374
PV SOLAR,9392  WOLF PACK TER,COLORADO SPRINGS,80920,38.96489959,-104.73973984
PV SOLAR FLUSH ROOF MOUNT ( 7920 WATTS ),4610 S SLEEPY HOLLOW CIR,COLORADO SPRINGS,80917,38.87996067,-104.74238008
